year,country,acaes,hydrogen,lithium,phs,redox
2030,AT,0,0,79.5267,6055.333,0
2030,BE,0,0,104.7651,1150,0
2030,CH,0,0,88.7733,4593,0
2030,CZ,0,0,809.3349,1000,0
2030,DE,0,0,5164.5,9791.6,0
2030,DK,0,0,287.1,0,0
2030,FR,0,0,1128.6,5500,0
2030,LU,0,0,33.0825,1026,0
2030,NL,0,0,442.9524,0,0
2030,NO,0,0,0,1114.708,0
2030,PL,0,0,1490.7651,1488,0
2030,SE,0,0,1059.2736,0,0
2040,AT,15.5958,6.237,159.0534,6055.333,0
2040,BE,266.673,1192.8906,209.5302,1908,0
2040,CH,17.4042,6.963,177.5466,6722,0
2040,CZ,617.7402,111.474,1618.6698,1145,0
2040,DE,2264.4534,6666.0066,10329,10244,0
2040,DK,138.6,3293.4,574.2,0,0
2040,FR,165,17153.4,2257.2,5500,0
2040,LU,84.2094,376.7016,66.165,1026,0
2040,NL,1127.511,5043.6144,885.9048,2500,0
2040,NO,0,0,0,1114.708,0
2040,PL,1137.8598,205.326,2981.5302,2292,0
2040,SE,0,0,2118.5472,0,0
2050,AT,23.63,9.45,240.99,10733,18.9
2050,BE,404.05,1807.41,317.47,2308,10.82
2050,CH,26.37,10.55,269.01,5443,21.1
2050,CZ,935.97,168.9,2452.53,1787,21.11
2050,DE,3430.99,10100.01,15650,12801.1914202305,930
2050,DK,210,4990,870,0,60
2050,FR,250,25990,3420,13420,60
2050,LU,127.59,570.76,100.25,1800,3.42
2050,NL,1708.35,7641.84,1342.28,104,45.76
2050,NO,0,0,0,17291,0
2050,PL,1724.03,311.1,4517.47,3790,38.89
2050,SE,0,0,3209.92,0,0
