scenario,onshore,offshore,biomass,pv,battery,dsm,demand
A2030,74300,20000,6000,72900,8000,2000,512300
B2030,81500,17000,6000,91300,10000,4000,543900
C2030,85500,17000,6000,104500,12500,6000,576500
