country,max_hours
AT,33
BA,8
BE,4
BG,8
CH,136
CZ,5
DE,6
ES,11
FR,15
GB,10
GR,7
HR,8
IE,6
IT,9
LI,12
LU,4
NO,314
PL,5
PT,32
RO,36
SE,793
SI,3
SK,4
,
,
,
,
,
,
,
,
,
,
,
,
country,max_hours
AT,33
BA,8
BE,4
BG,8
CH,136
CZ,5
DE,6
ES,11
FR,15
GB,10
GR,7
HR,8
IE,6
IT,9
LI,12
LU,4
NO,314
PL,5
PT,32
RO,36
SE,793
SI,3
SK,4
